トピックナンバー,単語,値
1,ボード,0.206798443
1,戦略,0.181341719
1,ゲーム,0.125935909
1,分析,0.081012279
1,プログラミング,0.081012279
1,題材,0.060047919
1,支援,0.042078467
1,パズル,0.027103923
1,環境,0.016621743
1,発展,0.015124289
2,探索,0.242517892
2,木,0.109141184
2,用いる,0.102635003
2,アルゴリズム,0.081489915
2,モンテカルロ,0.04245283
2,方法,0.03919974
2,基づく,0.035946649
2,歴史,0.029440468
2,解析,0.027813923
2,新しい,0.027813923
3,用いる,0.167648883
3,手法,0.158343672
3,生成,0.139733251
3,自動,0.118021092
3,提案,0.118021092
3,試み,0.052884615
3,デザイン,0.029621588
3,コンピュータ,0.021867246
3,ゲーム,0.018765509
3,基づく,0.015663772
4,活用,0.178242802
4,教育,0.127782725
4,ゲーミフィケーション,0.127782725
4,設計,0.090679727
4,企画,0.060997329
4,x{301c},0.060997329
4,学ぶ,0.04021965
4,シンポジウム,0.03725141
4,経営,0.03428317
4,考える,0.023894331
5,ソフト,0.33641291
5,著作,0.098669623
5,平成,0.096205962
5,販売,0.085119488
5,判決,0.085119488
5,判例,0.0654102
5,中古,0.060482878
5,事件,0.044469081
5,映画,0.018600641
5,データ,0.013673319
6,産業,0.335002862
6,日本,0.126073268
6,市場,0.084573555
6,企業,0.08314253
6,中国,0.073125358
6,経済,0.047366915
6,コンテンツ,0.034487693
6,発展,0.033056669
6,実験,0.015884373
6,ビジネス,0.013022324
7,ゲーム,0.521366138
7,工学,0.056814503
7,講演,0.040628035
7,用いる,0.034153448
7,デザイン,0.032534801
7,時代,0.026060214
7,解析,0.014729686
7,一般,0.013111039
7,教材,0.013111039
7,理論,0.013111039
8,ゲーム,0.168384359
8,デザイン,0.1320097
8,環境,0.081994544
8,AI,0.077447711
8,利用,0.07441649
8,能力,0.03652622
8,使用,0.033494998
8,空間,0.028948166
8,手法,0.025916945
8,効果,0.024401334
9,モデル,0.235243651
9,ビジネス,0.224948524
9,決定,0.092827728
9,意思,0.061942347
9,ワーク,0.031056966
9,理論,0.025909403
9,基づく,0.025909403
9,基礎,0.022477694
9,年,0.020761839
9,GO,0.019045985
10,将棋,0.338244417
10,コンピュータ,0.17075062
10,囲碁,0.121122829
10,ゲーム,0.040477667
10,思考,0.038926799
10,現状,0.037375931
