instance_id,property,value,source,resource_id,mapped_property,normalized_value
https://id.analoggamemuseum.org/api/items/1081,product_name,耳と手,AI,B150,name,耳と手
https://id.analoggamemuseum.org/api/items/1081,product_name,耳と手感覚,AI,B150,name,耳と手感覚
https://id.analoggamemuseum.org/api/items/1081,product_name,耳と手覚,AI,B150,name,耳と手覚
https://id.analoggamemuseum.org/api/items/1081,components,マッチ棒(箱・得点用)・・・ 約240本,AI,B150,component,マッチ棒(箱・得点用)・・・約240本
https://id.analoggamemuseum.org/api/items/1081,components,マッチ箱・・・36個(9種×4個),AI,B150,component,マッチ箱・・・36個(9種×4個)
https://id.analoggamemuseum.org/api/items/1081,components,説明書,AI,B150,component,説明書
https://id.analoggamemuseum.org/api/items/1081,number_of_players,2~8人位,AI,B150,numberOfPlayers,2-8
https://id.analoggamemuseum.org/api/items/1081,game_time,10~30分,AI,B150,playTime,pt10m–pt30m
https://id.analoggamemuseum.org/api/items/1081,audience,5才〜大人,AI,B150,audience,5-大人
https://id.analoggamemuseum.org/api/items/1081,publisher,ちょっとずつ違う,AI,B150,publisher,ちょっとずつ違う
https://id.analoggamemuseum.org/api/items/1081,contact_point,Mkankakugame@gmail.com,AI,B150,contactPoint,mkankakugame@gmail.com
https://id.analoggamemuseum.org/api/items/1081,contact_point,http://chotoz.wp.xdomain.jp/,AI,B150,contactPoint,chotoz.wp.xdomain.jp
https://id.analoggamemuseum.org/api/items/1081,responsibility_statement,考案・図案制作,AI,B150,responsibilityStatement,考案図案制作
https://id.analoggamemuseum.org/api/items/1098,product_name,CUP 三人展,AI,B98,name,cup三人展
https://id.analoggamemuseum.org/api/items/1098,product_name,SANNINTEN Babanuki,AI,B98,name,sannintenbabanuki
https://id.analoggamemuseum.org/api/items/1098,product_name,カップアイドル,AI,B98,name,カップアイドル
https://id.analoggamemuseum.org/api/items/1098,product_name,ババ抜き,AI,B98,name,ババ抜き
https://id.analoggamemuseum.org/api/items/1098,product_name,三人展,AI,B98,name,三人展
https://id.analoggamemuseum.org/api/items/1098,product_name,三人展ババ抜き,AI,B98,name,三人展ババ抜き
https://id.analoggamemuseum.org/api/items/1098,product_name,犬ババ抜き,AI,B98,name,犬ババ抜き
https://id.analoggamemuseum.org/api/items/1098,publisher,OOYAMA,AI,B98,publisher,ooyama
https://id.analoggamemuseum.org/api/items/1098,publisher,OOYAMA'S GAME,AI,B98,publisher,ooyama'sgame
https://id.analoggamemuseum.org/api/items/1098,publisher,オーヤマゲーム,AI,B98,publisher,オーヤマゲーム
https://id.analoggamemuseum.org/api/items/1098,datePublished,2021,AI,B98,datePublished,2021
https://id.analoggamemuseum.org/api/items/1098,audience,10歳+,AI,B98,audience,10-
https://id.analoggamemuseum.org/api/items/1098,number_of_players,2-6人,AI,B98,numberOfPlayers,2-6
https://id.analoggamemuseum.org/api/items/1098,contact_point,@ooyamasgame,AI,B98,contactPoint,@ooyamasgame
https://id.analoggamemuseum.org/api/items/1098,contact_point,e-mail: ooyama.le.al.2009.12@gmail.com,AI,B98,contactPoint,ooyama.le.al.2009.12@gmail.com
https://id.analoggamemuseum.org/api/items/1098,version,第1版,AI,B98,version,第1版
https://id.analoggamemuseum.org/api/items/1098,responsibility_statement,Akihito Toda,AI,B98,responsibilityStatement,akihitotoda
https://id.analoggamemuseum.org/api/items/1098,responsibility_statement,GAME DESIGN by Kouichi Ooyama,AI,B98,responsibilityStatement,gamedesignbykouichiooyama
https://id.analoggamemuseum.org/api/items/1098,responsibility_statement,"GAME DESIGN by Kouichi Ooyama, Toshinao Aoki, Akihito Toda",AI,B98,responsibilityStatement,"gamedesignbykouichiooyama,toshinaoaoki,akihitotoda"
https://id.analoggamemuseum.org/api/items/1098,responsibility_statement,カード文とイラスト、写真,AI,B98,responsibilityStatement,"カード文とイラスト,写真"
https://id.analoggamemuseum.org/api/items/1098,responsibility_statement,カード文とイラスト、写真: 青木俊直、大山功一、戸田昭吾,AI,B98,responsibilityStatement,"カード文とイラスト,写真:青木俊直,大山功一,戸田昭吾"
https://id.analoggamemuseum.org/api/items/1098,responsibility_statement,ゲームデザイン: 大山功一,AI,B98,responsibilityStatement,ゲームデザイン:大山功一
https://id.analoggamemuseum.org/api/items/1098,responsibility_statement,"ゲームデザイン: 青木俊直, 大山功一, 戸田昭吾",AI,B98,responsibilityStatement,"ゲームデザイン:青木俊直,大山功一,戸田昭吾"
https://id.analoggamemuseum.org/api/items/1098,responsibility_statement,戸田昭吾,AI,B98,responsibilityStatement,戸田昭吾
https://id.analoggamemuseum.org/api/items/1104,version,Ver.1.0,AI,B99,version,ver.1.0
https://id.analoggamemuseum.org/api/items/1104,version,~キャラクター追加~,AI,B99,version,~キャラクター追加~
https://id.analoggamemuseum.org/api/items/1104,version,スタンダード版,AI,B99,version,スタンダード版
https://id.analoggamemuseum.org/api/items/1104,version,拡張版,AI,B99,version,拡張版
https://id.analoggamemuseum.org/api/items/1104,components,エリアカード 48枚,AI,B99,component,エリアカード48枚
https://id.analoggamemuseum.org/api/items/1104,components,予備カード12枚,AI,B99,component,予備カード12枚
https://id.analoggamemuseum.org/api/items/1104,components,説明書1枚,AI,B99,component,説明書1枚
https://id.analoggamemuseum.org/api/items/1104,product_name,トレーディングかくれんぼゲーム,AI,B99,name,トレーディングかくれんぼゲーム
https://id.analoggamemuseum.org/api/items/1104,publisher,ヒトデ工房,AI,B99,publisher,ヒトデ工房
https://id.analoggamemuseum.org/api/items/1104,datePublished,2020,AI,B99,datePublished,2020
https://id.analoggamemuseum.org/api/items/1104,responsibility_statement,ゲームデザイン : ヒトデラヴ (ヒトデ工房),AI,B99,responsibilityStatement,ゲームデザイン:ヒトデラヴ
https://id.analoggamemuseum.org/api/items/1073,game_time,20~ MIN,AI,B94,playTime,pt20m–inf
https://id.analoggamemuseum.org/api/items/1073,number_of_players,2~4 PLAYERS,AI,B94,numberOfPlayers,2-4
https://id.analoggamemuseum.org/api/items/1073,audience,8+ AGE,AI,B94,audience,8-
https://id.analoggamemuseum.org/api/items/1073,product_name,HAMSTACK!,AI,B94,name,hamstack!
https://id.analoggamemuseum.org/api/items/1073,product_name,Whoops!,AI,B94,name,whoops!
https://id.analoggamemuseum.org/api/items/1073,components,ハムコイン 8枚,AI,B94,component,ハムコイン8枚
https://id.analoggamemuseum.org/api/items/1073,components,ハムスターカード 42枚,AI,B94,component,ハムスターカード42枚
https://id.analoggamemuseum.org/api/items/1073,components,リーチタイル 4枚,AI,B94,component,リーチタイル4枚
https://id.analoggamemuseum.org/api/items/1073,components,得点チップ 27枚,AI,B94,component,得点チップ27枚
https://id.analoggamemuseum.org/api/items/1073,components,説明書 1枚,AI,B94,component,説明書1枚
https://id.analoggamemuseum.org/api/items/1073,publisher,Umeruma Games,AI,B94,publisher,umerumagames
https://id.analoggamemuseum.org/api/items/1073,datePulished,2022,AI,B94,datePublished,2022
https://id.analoggamemuseum.org/api/items/1108,barcode,4595123971109,AI,B96,barcode,4595123971109
https://id.analoggamemuseum.org/api/items/1108,product_name,ドウブツつくろ,AI,B96,name,ドウブツつくろ
https://id.analoggamemuseum.org/api/items/1108,publisher,77spiele,AI,B96,publisher,77spiele
https://id.analoggamemuseum.org/api/items/1108,number_of_players,2-5人,AI,B96,numberOfPlayers,2-5
https://id.analoggamemuseum.org/api/items/1108,audience,6才~,AI,B96,audience,6~
https://id.analoggamemuseum.org/api/items/1108,audience,6才以上,AI,B96,audience,6-
https://id.analoggamemuseum.org/api/items/1108,game_time,20分,AI,B96,playTime,pt20m
https://id.analoggamemuseum.org/api/items/1108,components,カタカナカード 57枚,AI,B96,component,カタカナカード57枚
https://id.analoggamemuseum.org/api/items/1108,components,動物リストカード5枚,AI,B96,component,動物リストカード5枚
https://id.analoggamemuseum.org/api/items/1108,components,説明書1枚,AI,B96,component,説明書1枚
https://id.analoggamemuseum.org/api/items/1108,contact_point,#77spiele.jp,AI,B96,contactPoint,77spiele.jp
https://id.analoggamemuseum.org/api/items/1108,datePulished,2022,AI,B96,datePublished,2022
https://id.analoggamemuseum.org/api/items/1108,responsibility_statement,作: よぎしんいち,AI,B96,responsibilityStatement,作:よぎしんいち
https://id.analoggamemuseum.org/api/items/1080,product_name,EXACTA!,AI,B95,name,exacta!
https://id.analoggamemuseum.org/api/items/1080,product_name,EXAGTA!,AI,B95,name,exagta!
https://id.analoggamemuseum.org/api/items/1080,components,ご褒美カード 49枚,AI,B95,component,ご褒美カード49枚
https://id.analoggamemuseum.org/api/items/1080,components,競走馬カード 7枚,AI,B95,component,競走馬カード7枚
https://id.analoggamemuseum.org/api/items/1080,components,説明書 1枚,AI,B95,component,説明書1枚
https://id.analoggamemuseum.org/api/items/1080,number_of_players,1-5人,AI,B95,numberOfPlayers,1-5
https://id.analoggamemuseum.org/api/items/1080,publisher,ゼロビットゲームズ,AI,B95,publisher,ゼロビットゲームズ
https://id.analoggamemuseum.org/api/items/1080,game_time,15-30分,AI,B95,playTime,pt15m–pt30m
https://id.analoggamemuseum.org/api/items/1080,audience,8歳以上,AI,B95,audience,8-
https://id.analoggamemuseum.org/api/items/1080,responsibility_statement,イラスト : のの,AI,B95,responsibilityStatement,イラスト:のの
https://id.analoggamemuseum.org/api/items/1080,responsibility_statement,イラスト のの,AI,B95,responsibilityStatement,イラストのの
https://id.analoggamemuseum.org/api/items/1080,responsibility_statement,ゲームデザイン : yasto,AI,B95,responsibilityStatement,ゲームデザイン:yasto
https://id.analoggamemuseum.org/api/items/1080,responsibility_statement,ゲームデザイン yasto,AI,B95,responsibilityStatement,ゲームデザインyasto
https://id.analoggamemuseum.org/api/items/1087,product_name,SAKURA-GO-ROUND,AI,B92,name,sakura-go-round
https://id.analoggamemuseum.org/api/items/1087,product_name,しゅうかくだもん!,AI,B92,name,しゅうかくだもん!
https://id.analoggamemuseum.org/api/items/1087,product_name,しゅうかくだもん! SAKURA-GO-ROUND,AI,B92,name,しゅうかくだもん!sakura-go-round
https://id.analoggamemuseum.org/api/items/1087,number_of_players,2-4人,AI,B92,numberOfPlayers,2-4
https://id.analoggamemuseum.org/api/items/1087,audience,6才~,AI,B92,audience,6~
https://id.analoggamemuseum.org/api/items/1087,audience,6才以上,AI,B92,audience,6-
https://id.analoggamemuseum.org/api/items/1087,game_time,10分以上,AI,B92,playTime,pt10m–inf
https://id.analoggamemuseum.org/api/items/1087,publisher,SAKURA-GO-ROUND,AI,B92,publisher,sakura-go-round
https://id.analoggamemuseum.org/api/items/1087,version,SAKURA-GO-ROUND,AI,B92,version,sakura-go-round
https://id.analoggamemuseum.org/api/items/1087,responsibility_statement,え・はんが: CHIHIRO YOSHIDA,AI,B92,responsibilityStatement,えはんが:chihiroyoshida
https://id.analoggamemuseum.org/api/items/1087,responsibility_statement,せいさく: SAKURA-GO-ROUND,AI,B92,responsibilityStatement,せいさく:sakura-go-round
https://id.analoggamemuseum.org/api/items/1087,responsibility_statement,絵・判画: CHIHIRO YOSHIDA,AI,B92,responsibilityStatement,絵判画:chihiroyoshida
https://id.analoggamemuseum.org/api/items/1084,product_name,The Installation,AI,B93,name,theinstallation
