dcterms:date,dcterms:type,dcterms:creator,dcterms:title @en,dcterms:issued,dcterms:isPartOf,dcterms:publisher,schema:volumeNumber,schema:issueNumber,schema:pageStart,schema:pageEnd,dcterms:language,dcterms:identifier,schema:issn,schema:url,dcterms:title,schema:keywords
2021-10-29 01:25:10.251480,Article,後藤 敏行,Toward the activation of computer game archives,2010,情報プロフェッショナルシンポジウム予稿集,　情報科学技術協会,2010,0,111,116,UNK,"naid: 130004598585,doi: 10.11514/infopro.2010.0.111.0",,https://doi.org/10.11514/infopro.2010.0.111.0,コンピュータゲームアーカイブの活性化に向けて,"コンピュータゲームアーカイブ,ゲームアーカイブ,コンピュータゲーム,テレビゲーム,ゲーム,デジタルアーカイブ,サブカルチャー,ゲームアーカイブプロジェクト,国立国会図書館"
2021-10-29 01:34:15.340139,Article,"宮脇 亮介,大洲 隆一郎",Computer Games Advantages in Learning Mechanics : Practice in Lower Secondary School,2010,理科教育学研究,　日本理科教育学会,51,2,99,108,JPN,"naid: 110008513405,ncid: AA11406090,ndlid: 10879172,doi: 10.11639/sjst.KJ00007111430",1345-2614,"http://id.ndl.go.jp/bib/10879172,https://doi.org/10.11639/sjst.KJ00007111430",力学の理解を援助するコンピュータゲームの有用性について : 中学校理科の力学学習における実践,
2021-10-29 01:38:57.103446,Article,佐久間 寛之,,2021,アニムス = Animus : 最新医療情報誌,[LSIメディエンス] アニムス編集委員会,26,3,11,18,JPN,"naid: 40022630938,ncid: AA12526087,ndlid: 031578405",1342-0119,"http://id.ndl.go.jp/bib/031578405,http://search.jamas.or.jp/link/ui/2021262385",ゲーム依存症の今 (依存症の今),"オンラインゲーム,ゲーム依存症,のめり込み,精神障害の診断・統計マニュアル第5版(DSM-5),国際疾病分類第11版(ICD-11)"
2021-10-29 01:50:30.477478,Article,藪内 稔,Communication Process and Game Theory,2012,京都ノートルダム女子大学言語文化研究,[京都ノートルダム女子大学]「言語文化研究」刊行会,,3,4,11,JPN,"naid: 40019650154,ncid: AA12571456,ndlid: 024519121",2186-0688,http://id.ndl.go.jp/bib/024519121,コミュニケーション過程とゲーム理論,"convention,linguistic communication,sequential equilibrium,signaling game"
2021-10-29 01:26:29.325103,Article,"松本 貴裕,森本 義基,高見 友幸",,2019-11-30,国際ICT利用研究学会全国大会講演論文集 = International ICT Application Research Society annual conference (IIARS) CD-ROM proceedings,[国際ICT利用研究学会],4,,82,85,JPN,"naid: 40022086698,ndlid: 030115341",2432-4825,http://id.ndl.go.jp/bib/030115341,デジタルゲームのRPA : プログラミング教育への活用に関する検討,"デジタルゲームのRPA,プログラミング教育,Python"
2021-10-29 01:57:45.521635,Article,山上 俊彦,,2013,情報処理学会関西支部支部大会講演論文集,[情報処理学会関西支部],,,1,34,JPN,"naid: 40020197184,ncid: AA12496678,ndlid: 025782999",1884-197X,http://id.ndl.go.jp/bib/025782999,ネットワークゲームを支える仮想世界錬金術 : ゲーミフィケーションと行動誘導技術 : 2013年度情報処理学会関西支部支部大会特別講演,
2021-10-29 01:57:06.233381,Article,"濱村朱里,福島拓,吉野孝,江種伸之",Effect of Support Functions Using Gamification in Evacuation Support System,2014-09-10,2014年度 情報処理学会関西支部 支部大会 講演論文集,[情報処理学会関西支部],,2014,,,JPN,"naid: 40020216378,ncid: AA12496678,ndlid: 025822110",1884-197X,"http://id.ndl.go.jp/bib/025822110,http://id.nii.ac.jp/1001/00112497/",災害時避難支援システムにおけるゲーミフィケーションを用いた利用支援機能の効果,メディア・インタラクション
2021-10-29 01:57:28.988071,Article,"町田雄一郎,河原大輔,柴田知秀,黒橋禎夫,颯々野学",Acquiring word associations with Gamification,2014-09-10,2014年度 情報処理学会関西支部 支部大会 講演論文集,[情報処理学会関西支部],,2014,,,JPN,"naid: 40020216267,ncid: AA12496678,ndlid: 025821970",1884-197X,"http://id.ndl.go.jp/bib/025821970,http://id.nii.ac.jp/1001/00112488/",ゲーミフィケーションによる連想概念の獲得,言語情報処理
2021-10-29 02:00:47.896746,Article,"山崎朋哉,宮崎修一",P2P Network Mahjong Shogi Using Public Key Cryptosystem,2014-09-10,2014年度 情報処理学会関西支部 支部大会 講演論文集,[情報処理学会関西支部],,2014,,,JPN,"naid: 40020215888,ncid: AA12496678,ndlid: 025821488",1884-197X,"http://id.ndl.go.jp/bib/025821488,http://id.nii.ac.jp/1001/00112464/",公開鍵暗号を用いたP2P型ネットワーク麻雀将棋,並列分散処理
2021-10-29 01:39:21.612867,Article,"新原 弘明,伊藤 淳子,宗森 純",Effect of Heart Rate Transmission for an Opponent of an Online Game,2016,情報処理学会関西支部支部大会講演論文集,[情報処理学会関西支部],,,,,JPN,"naid: 40020965245,ncid: AA12496678,ndlid: 027665646",1884-197X,http://id.ndl.go.jp/bib/027665646,心拍数の伝達がオンラインゲームの対戦相手に及ぼす効果,
